Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	2.273	6.382	0.701	2.141	19.852	1.68	14.722	1.542	1.232	0.812	0.932
imp	2.339	6.689	0.657	2.17	15.679	3.09	14.374	1.73	1.336	0.749	0.954
imp	3.267	8.508	0.567	2.78	22.256	4.823	54.981	1.556	1.725	0.58	0.948
imp	0.015	0.458	0.896	0.164	12.562	2.515	56.821	0.132	1.173	0.853	0.962
imp	3.368	7.494	0.754	2.429	17.855	3.893	117.178	1.871	1.242	0.805	0.959
imp	2.735	6.754	0.753	2.475	11.542	4.453	122.537	1.684	1.458	0.686	0.967
imp	2.404	8.576	0.411	2.401	6.857	5.314	165.475	1.515	1.478	0.676	0.907
imp	1.77	8.151	0.335	1.967	14.48	4.892	126.593	1.395	1.561	0.641	0.83
imp	0.02	0.615	0.68	0.244	15.895	5.504	141.147	0.151	1.629	0.614	0.921
imp	0.018	0.573	0.683	0.191	15.932	5.726	129.401	0.153	1.292	0.774	0.855
imp	0.02	0.541	0.856	0.189	15.462	5.89	153.435	0.158	1.101	0.908	0.921
imp	0.011	0.389	0.921	0.139	15.795	5.901	114.624	0.111	1.213	0.825	0.943
imp	1.856	8.342	0.335	1.871	1.342	6.059	126.967	1.6	1.1	0.909	0.887
imp	2.007	6.837	0.539	2.067	22.694	6.149	111.122	1.541	1.314	0.761	0.89
imp	0.01	0.42	0.699	0.163	22.451	6.218	114.905	0.09	1.843	0.543	0.89
imp	0.009	0.397	0.733	0.165	22.245	6.445	47.603	0.09	1.942	0.515	0.896
imp	0.007	0.322	0.824	0.135	22.868	7.612	131.82	0.077	1.739	0.575	0.94
imp	0.005	0.275	0.887	0.108	1.516	8.156	133.025	0.074	1.216	0.822	0.97
imp	2.058	5.804	0.768	1.894	11.231	10.264	86.643	1.573	1.095	0.913	0.956
imp	2.479	6.78	0.678	2.476	21.463	8.706	153.38	1.306	1.863	0.537	0.95
imp	2.783	6.754	0.767	2.177	6.846	8.769	156.856	1.784	1.207	0.829	0.964
imp	0.971	4.065	0.739	1.537	13.032	10.011	77.493	0.912	1.654	0.605	0.966
imp	3.757	8.003	0.737	3.011	16.661	10.053	17.036	1.645	1.88	0.532	0.966
imp	2.961	7.086	0.741	2.453	11.616	11.97	92.222	1.412	1.681	0.595	0.974
imp	2.473	6.9	0.653	2.399	21.162	12.536	174.44	1.64	1.533	0.652	0.943
imp	2.375	6.02	0.824	2.018	18.748	15.256	70.427	1.622	1.179	0.848	0.976
imp	2.977	7.1	0.742	2.528	5.943	14.638	129.913	1.74	1.298	0.77	0.967
imp	2.859	7.64	0.616	2.852	12.868	15.996	152.296	1.632	1.669	0.599	0.948
imp	3.17	8.589	0.54	2.921	8.405	4.348	42.141	1.443	2.01	0.498	0.945
imp	1.998	5.859	0.732	2.044	16.867	4.633	48.772	1.509	1.261	0.793	0.955
imp	2.041	10.275	0.243	1.924	11.231	5.045	28.184	1.708	1.118	0.894	0.852
imp	0.209	2.072	0.611	0.771	13.502	4.326	38.598	0.389	1.974	0.507	0.892
imp	2.737	7.59	0.597	2.585	21.004	6.186	62.754	1.743	1.338	0.748	0.904
imp	0.01	0.386	0.863	0.15	7.839	5.235	50.711	0.099	1.49	0.671	0.95
imp	0.444	6.336	0.139	1.961	6.186	6.292	27.6	0.634	4.327	0.231	0.408
imp	0.023	0.636	0.715	0.248	8.172	5.351	150.709	0.148	1.595	0.627	0.904
imp	2.399	6.179	0.79	2.204	15.679	6.096	170.899	1.592	1.331	0.751	0.971
imp	0.01	0.4	0.752	0.161	8.685	5.61	113.199	0.074	2.046	0.489	0.957
imp	0.125	1.926	0.425	0.598	8.368	5.7	154.341	0.374	1.582	0.632	0.768
imp	0.004	0.246	0.849	0.095	8.288	5.732	123.69	0.053	1.512	0.661	0.986
imp	2.829	7.231	0.68	2.521	18.278	7.221	25.438	1.848	1.28	0.781	0.923
imp	0.048	1.024	0.58	0.392	6.999	6.138	25.53	0.198	2.21	0.453	0.852
imp	0.008	0.364	0.732	0.146	7.612	5.985	154.359	0.069	2.131	0.469	0.939
imp	0.006	0.31	0.765	0.121	6.984	6.149	118.811	0.063	1.819	0.55	0.938
imp	0.007	0.313	0.925	0.11	6.556	6.191	144.782	0.09	1.015	0.985	0.968
imp	0.088	2.062	0.259	0.798	7.248	6.778	20.956	0.296	3.495	0.286	0.513
imp	3.015	9.043	0.463	2.356	1.849	7.433	165.59	1.833	1.269	0.788	0.921
imp	0.09	1.797	0.349	0.583	6.455	6.651	135	0.345	1.802	0.555	0.713
imp	0.008	0.387	0.657	0.159	7.031	6.793	21.448	0.058	2.736	0.366	0.961
imp	0.005	0.254	0.889	0.094	7.359	6.968	51.843	0.069	1.177	0.849	0.959
imp	4.055	9.301	0.589	3.542	21.384	9.826	51.54	1.5	2.386	0.419	0.939
imp	2.37	6.334	0.742	2.147	10.312	9.112	21.199	1.557	1.365	0.732	0.956
imp	2.413	6.417	0.736	2.089	17.48	8.489	102.56	1.631	1.203	0.831	0.932
imp	1.639	5.501	0.681	1.732	13.687	10.254	26.643	1.35	1.204	0.831	0.961
imp	3.795	9.231	0.56	3.858	23.407	13.074	70.647	1.496	2.957	0.338	0.946
imp	1.371	15.494	0.072	2.104	6.614	10.708	158.653	1.886	1.131	0.884	0.507
imp	2.423	6.285	0.771	2.06	2.097	10.65	93.97	1.72	1.127	0.888	0.965
imp	3.279	7.682	0.698	2.774	5.372	13.587	76.228	1.731	1.584	0.631	0.949
imp	0.002	0.178	0.899	0.067	6.925	10.914	135	0.048	1	1	1
imp	1.673	5.34	0.737	1.831	11.743	12.689	62.696	1.298	1.291	0.775	0.957
imp	2.681	7.554	0.59	2.762	17.834	11.4	169.421	1.705	1.616	0.619	0.915
imp	0.033	0.865	0.559	0.276	7.501	11.902	20.171	0.211	1.357	0.737	0.834
imp	2.017	6.789	0.55	2.054	9.271	13.413	99.026	1.588	1.227	0.815	0.875
